source link,Category,Date,County,Value,LastReportedDate
,Households,12/1/2017,Bradley,7965,10/25/2018
,Households,12/1/2017,Campbell,5645,10/25/2018
,Households,12/1/2017,Cannon,1089,10/25/2018
,Households,12/1/2017,Carroll,2696,10/25/2018
,Households,12/1/2017,Carter,5082,10/25/2018
,Households,12/1/2017,Cheatham,1879,10/25/2018
,Households,12/1/2017,Chester,1341,10/25/2018
,Households,12/1/2017,Claiborne,3382,10/25/2018
,Households,12/1/2017,Clay,918,10/25/2018
,Households,12/1/2017,Cocke,5049,10/25/2018
,Households,12/1/2017,Coffee,4580,10/25/2018
,Households,12/1/2017,Crockett,1263,10/25/2018
,Households,12/1/2017,Cumberland,4376,10/25/2018
,Households,12/1/2017,Davidson,36837,10/25/2018
,Households,12/1/2017,Decatur,1176,10/25/2018
,Households,12/1/2017,DeKalb,1834,10/25/2018
,Households,12/1/2017,Dickson,3706,10/25/2018
,Households,12/1/2017,Dyer,3982,10/25/2018
,Households,12/1/2017,Fayette,3154,10/25/2018
,Households,12/1/2017,Fentress,2329,10/25/2018
,Households,12/1/2017,Franklin,2450,10/25/2018
,Households,12/1/2017,Gibson,4445,10/25/2018
,Households,12/1/2017,Giles,2216,10/25/2018
,Households,12/1/2017,Grainger,2064,10/25/2018
,Households,12/1/2017,Greene,5035,10/25/2018
,Households,12/1/2017,Grundy,1961,10/25/2018
,Households,12/1/2017,Hamblen,5431,10/25/2018
,Households,12/1/2017,Hamilton,25969,10/25/2018
,Households,12/1/2017,Hancock,1317,10/25/2018
,Households,12/1/2017,Hardeman,2744,10/25/2018
,Households,12/1/2017,Hardin,2965,10/25/2018
,Households,12/1/2017,Hawkins,5244,10/25/2018
,Households,12/1/2017,Haywood,2474,10/25/2018
,Households,12/1/2017,Henderson,2808,10/25/2018
,Households,12/1/2017,Henry,3171,10/25/2018
,Households,12/1/2017,Hickman,2199,10/25/2018
,Households,12/1/2017,Houston,662,10/25/2018
,Households,12/1/2017,Humphreys,1357,10/25/2018
,Households,12/1/2017,Jackson,1227,10/25/2018
,Households,12/1/2017,Jefferson,3886,10/25/2018
,Households,12/1/2017,Johnson,2054,10/25/2018
,Households,12/1/2017,Knox,25112,10/25/2018
,Households,12/1/2017,Lake,1038,10/25/2018
,Households,12/1/2017,Lauderdale,3125,10/25/2018
,Households,12/1/2017,Lawrence,3353,10/25/2018
,Households,12/1/2017,Lewis,1027,10/25/2018
,Households,12/1/2017,Lincoln,2305,10/25/2018
,Households,12/1/2017,Loudon,2500,10/25/2018
,Households,12/1/2017,Macon,2386,10/25/2018
,Households,12/1/2017,Madison,8733,10/25/2018
,Households,12/1/2017,Marion,2694,10/25/2018
,Households,12/1/2017,Marshall,2016,10/25/2018
,Households,12/1/2017,Maury,5222,10/25/2018
,Households,12/1/2017,McMinn,1286,10/25/2018
,Households,12/1/2017,Mcnairy,4163,10/25/2018
,Households,12/1/2017,Meigs,10906,10/25/2018
,Households,12/1/2017,Monroe,254,10/25/2018
,Households,12/1/2017,Montgomery,2107,10/25/2018
,Households,12/1/2017,Moore,4483,10/25/2018
,Households,12/1/2017,Morgan,2695,10/25/2018
,Households,12/1/2017,Obion,3070,10/25/2018
,Households,12/1/2017,Overton,1879,10/25/2018
,Households,12/1/2017,Perry,723,10/25/2018
,Households,12/1/2017,Pickett,417,10/25/2018
,Households,12/1/2017,Polk,1404,10/25/2018
,Households,12/1/2017,Putnam,5581,10/25/2018
,Households,12/1/2017,Rhea,3416,10/25/2018
,Households,12/1/2017,Roane,4101,10/25/2018
,Households,12/1/2017,Robertson,3819,10/25/2018
,Households,12/1/2017,Rutherford,11974,10/25/2018
,Households,12/1/2017,Scott,3319,10/25/2018
,Households,12/1/2017,Sequatchie,1575,10/25/2018
,Households,12/1/2017,Sevier,5457,10/25/2018
,Households,12/1/2017,Shelby,105079,10/25/2018
,Households,12/1/2017,Smith,1369,10/25/2018
,Households,12/1/2017,Stewart,938,10/25/2018
,Households,12/1/2017,Sullivan,12672,10/25/2018
,Households,12/1/2017,Sumner,7200,10/25/2018
,Households,12/1/2017,Tipton,4890,10/25/2018
,Households,12/1/2017,Trousdale,705,10/25/2018
,Households,12/1/2017,Unicoi,1614,10/25/2018
,Households,12/1/2017,Union,2049,10/25/2018
,Households,12/1/2017,VanBuren,477,10/25/2018
,Households,12/1/2017,Warren,3862,10/25/2018
,Households,12/1/2017,Washington,9324,10/25/2018
,Households,12/1/2017,Wayne,1258,10/25/2018
,Households,12/1/2017,Weakley,2886,10/25/2018
,Households,12/1/2017,White,2401,10/25/2018
,Households,12/1/2017,Williamson,2017,10/25/2018
,Households,12/1/2017,Wilson,4626,10/25/2018
,Households,1/1/2018,Anderson,6060,10/25/2018
,Households,1/1/2018,Bedford,4428,10/25/2018
,Households,1/1/2018,Benton,1528,10/25/2018
,Households,1/1/2018,Bledsoe,1474,10/25/2018
,Households,1/1/2018,Blount,7512,10/25/2018
,Households,1/1/2018,Bradley,7892,10/25/2018
,Households,1/1/2018,Campbell,5610,10/25/2018
,Households,1/1/2018,Cannon,1092,10/25/2018
,Households,1/1/2018,Carroll,2688,10/25/2018
,Households,1/1/2018,Carter,5109,10/25/2018
,Households,1/1/2018,Cheatham,1859,10/25/2018
,Households,1/1/2018,Chester,1345,10/25/2018
,Households,1/1/2018,Claiborne,3354,10/25/2018
,Households,1/1/2018,Clay,904,10/25/2018
,Households,1/1/2018,Cocke,5057,10/25/2018
,Households,1/1/2018,Coffee,4577,10/25/2018
,Households,1/1/2018,Crockett,1263,10/25/2018
,Households,1/1/2018,Cumberland,4376,10/25/2018
,Households,1/1/2018,Davidson,36306,10/25/2018
,Households,1/1/2018,Decatur,1150,10/25/2018
,Households,1/1/2018,DeKalb,1832,10/25/2018
,Households,1/1/2018,Dickson,3675,10/25/2018
,Households,1/1/2018,Dyer,3958,10/25/2018
,Households,1/1/2018,Fayette,3138,10/25/2018
,Households,1/1/2018,Fentress,2328,10/25/2018
,Households,1/1/2018,Franklin,2445,10/25/2018
,Households,1/1/2018,Gibson,4439,10/25/2018
,Households,1/1/2018,Giles,2234,10/25/2018
,Households,1/1/2018,Grainger,2038,10/25/2018
,Households,1/1/2018,Greene,4999,10/25/2018
,Households,1/1/2018,Grundy,1966,10/25/2018
,Households,1/1/2018,Hamblen,5412,10/25/2018
,Households,1/1/2018,Hamilton,25852,10/25/2018
,Households,1/1/2018,Hancock,1302,10/25/2018
,Households,1/1/2018,Hardeman,2741,10/25/2018
,Households,1/1/2018,Hardin,2936,10/25/2018
,Households,1/1/2018,Hawkins,5191,10/25/2018
,Households,1/1/2018,Haywood,2443,10/25/2018
,Households,1/1/2018,Henderson,2789,10/25/2018
,Households,1/1/2018,Henry,3138,10/25/2018
,Households,1/1/2018,Hickman,2189,10/25/2018
,Households,1/1/2018,Houston,658,10/25/2018
,Households,1/1/2018,Humphreys,1318,10/25/2018
,Households,1/1/2018,Jackson,1221,10/25/2018
,Households,1/1/2018,Jefferson,3917,10/25/2018
,Households,1/1/2018,Johnson,2077,10/25/2018
,Households,1/1/2018,Knox,24973,10/25/2018
,Households,1/1/2018,Lake,1046,10/25/2018
,Households,1/1/2018,Lauderdale,3126,10/25/2018
,Households,1/1/2018,Lawrence,3292,10/25/2018
,Households,1/1/2018,Lewis,1014,10/25/2018
,Households,1/1/2018,Lincoln,2316,10/25/2018
,Households,1/1/2018,Loudon,2512,10/25/2018
,Households,1/1/2018,Macon,2385,10/25/2018
,Households,1/1/2018,Madison,8707,10/25/2018
,Households,1/1/2018,Marion,2707,10/25/2018
,Households,1/1/2018,Marshall,1988,10/25/2018
,Households,1/1/2018,Maury,5175,10/25/2018
,Households,1/1/2018,McMinn,4491,10/25/2018
,Households,1/1/2018,Mcnairy,2698,10/25/2018
,Households,1/1/2018,Meigs,1298,10/25/2018
,Households,1/1/2018,Monroe,4104,10/25/2018
,Households,1/1/2018,Montgomery,10832,10/25/2018
,Households,1/1/2018,Moore,245,10/25/2018
,Households,1/1/2018,Morgan,2100,10/25/2018
,Households,1/1/2018,Obion,3028,10/25/2018
,Households,1/1/2018,Overton,1880,10/25/2018
,Households,1/1/2018,Perry,716,10/25/2018
,Households,1/1/2018,Pickett,418,10/25/2018
,Households,1/1/2018,Polk,1396,10/25/2018
,Households,1/1/2018,Putnam,5593,10/25/2018
,Households,1/1/2018,Rhea,3396,10/25/2018
,Households,1/1/2018,Roane,4090,10/25/2018
,Households,1/1/2018,Robertson,3803,10/25/2018
,Households,1/1/2018,Rutherford,11889,10/25/2018
,Households,1/1/2018,Scott,3303,10/25/2018
,Households,1/1/2018,Sequatchie,1552,10/25/2018
,Households,1/1/2018,Sevier,5422,10/25/2018
,Households,1/1/2018,Shelby,102968,10/25/2018
,Households,1/1/2018,Smith,1356,10/25/2018
,Households,1/1/2018,Stewart,901,10/25/2018
,Households,1/1/2018,Sullivan,12586,10/25/2018
,Households,1/1/2018,Sumner,7138,10/25/2018
,Households,1/1/2018,Tipton,4876,10/25/2018
,Households,1/1/2018,Trousdale,710,10/25/2018
,Households,1/1/2018,Unicoi,1625,10/25/2018
,Households,1/1/2018,Union,2040,10/25/2018
,Households,1/1/2018,VanBuren,488,10/25/2018
,Households,1/1/2018,Warren,3849,10/25/2018
,Households,1/1/2018,Washington,9277,10/25/2018
,Households,1/1/2018,Wayne,1251,10/25/2018
,Households,1/1/2018,Weakley,2834,10/25/2018
,Households,1/1/2018,White,2442,10/25/2018
,Households,1/1/2018,Williamson,1997,10/25/2018
,Households,1/1/2018,Wilson,4637,10/25/2018
,Households,2/1/2018,Anderson,5983,10/25/2018
,Households,2/1/2018,Bedford,4345,10/25/2018
,Households,2/1/2018,Benton,1504,10/25/2018
,Households,2/1/2018,Bledsoe,1439,10/25/2018
,Households,2/1/2018,Blount,7349,10/25/2018
,Households,2/1/2018,Bradley,7853,10/25/2018
,Households,2/1/2018,Campbell,5567,10/25/2018
,Households,2/1/2018,Cannon,1073,10/25/2018
,Households,2/1/2018,Carroll,2650,10/25/2018
,Households,2/1/2018,Carter,5030,10/25/2018
,Households,2/1/2018,Cheatham,1834,10/25/2018
,Households,2/1/2018,Chester,1329,10/25/2018
,Households,2/1/2018,Claiborne,3286,10/25/2018
,Households,2/1/2018,Clay,878,10/25/2018
,Households,2/1/2018,Cocke,5061,10/25/2018
,Households,2/1/2018,Coffee,4524,10/25/2018
,Households,2/1/2018,Crockett,1262,10/25/2018
,Households,2/1/2018,Cumberland,4360,10/25/2018
,Households,2/1/2018,Davidson,35964,10/25/2018
,Households,2/1/2018,Decatur,1145,10/25/2018
,Households,2/1/2018,DeKalb,1828,10/25/2018
,Households,2/1/2018,Dickson,3619,10/25/2018
,Households,2/1/2018,Dyer,3910,10/25/2018
,Households,2/1/2018,Fayette,3138,10/25/2018
,Households,2/1/2018,Fentress,2332,10/25/2018
,Households,2/1/2018,Franklin,2393,10/25/2018
,Households,2/1/2018,Gibson,4394,10/25/2018
,Households,2/1/2018,Giles,2229,10/25/2018
,Households,2/1/2018,Grainger,2019,10/25/2018
,Households,2/1/2018,Greene,4972,10/25/2018
,Households,2/1/2018,Grundy,1947,10/25/2018
,Households,2/1/2018,Hamblen,5319,10/25/2018
,Households,2/1/2018,Hamilton,25588,10/25/2018
,Households,2/1/2018,Hancock,1295,10/25/2018
,Households,2/1/2018,Hardeman,2682,10/25/2018
,Households,2/1/2018,Hardin,2902,10/25/2018
,Households,2/1/2018,Hawkins,5173,10/25/2018
,Households,2/1/2018,Haywood,2426,10/25/2018
,Households,2/1/2018,Henderson,2773,10/25/2018
,Households,2/1/2018,Henry,3121,10/25/2018
,Households,2/1/2018,Hickman,2149,10/25/2018
,Households,2/1/2018,Houston,667,10/25/2018
,Households,2/1/2018,Humphreys,1331,10/25/2018
,Households,2/1/2018,Jackson,1193,10/25/2018
,Households,2/1/2018,Jefferson,3840,10/25/2018
,Households,2/1/2018,Johnson,2030,10/25/2018
,Households,2/1/2018,Knox,24728,10/25/2018
,Households,2/1/2018,Lake,1032,10/25/2018
,Households,2/1/2018,Lauderdale,3100,10/25/2018
,Households,2/1/2018,Lawrence,3230,10/25/2018
,Households,2/1/2018,Lewis,1028,10/25/2018
,Households,2/1/2018,Lincoln,2306,10/25/2018
,Households,2/1/2018,Loudon,2448,10/25/2018
,Households,2/1/2018,Macon,2315,10/25/2018
,Households,2/1/2018,Madison,8593,10/25/2018
,Households,2/1/2018,Marion,2662,10/25/2018
,Households,2/1/2018,Marshall,2024,10/25/2018
,Households,2/1/2018,Maury,5164,10/25/2018
,Households,2/1/2018,McMinn,4463,10/25/2018
,Households,2/1/2018,Mcnairy,2657,10/25/2018
,Households,2/1/2018,Meigs,1281,10/25/2018
